Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
1,3700,19.8,28.2,7.8,0.0,0.394,94,0,-0.1,3700,20.8,29.5,7.8,0.0,0.394,94,0,-0.1,3700,-0.1,-0.1,98.6,-0.1,54.5,-0.1,13.0,0,3700,1186,0,0,0,78,66,81,69,3700,0,94,0,0,0,0,0,0,3700,7.8,243.6,235.8,0.750,0.0,43,54.5,-0.1,3700,86,300,0,0,0,0,0,0,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.740,2.835,1,4,31.1,0.400,1,0,1,1.047,29.24,73.8,34.3,0.29,1976,0.073,45.0,
2,3800,23.5,32.4,5.5,0.0,0.233,94,0,-0.1,3800,24.6,34.0,5.5,0.0,0.233,94,0,-0.1,3800,-0.1,-0.1,98.8,0.0,54.5,-0.1,13.0,0,3800,1186,0,0,0,77,66,81,69,3800,0,94,0,0,0,0,0,0,3800,5.5,240.7,235.3,0.750,0.0,44,54.5,-0.1,3800,245,300,0,0,0,0,0,0,3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.740,2.835,1,4,31.1,0.400,1,0,2,1.047,29.24,73.8,34.3,0.29,1976,0.073,45.0,
3,3900,26.2,35.3,5.7,0.0,0.217,93,0,-0.1,3900,27.5,37.0,5.7,0.0,0.217,93,0,-0.1,3900,-0.1,-0.1,98.8,0.0,54.5,-0.1,13.0,0,3900,1185,0,0,0,77,66,81,69,3900,0,93,0,0,0,0,0,0,3900,5.7,240.7,235.0,0.750,0.0,44,54.5,-0.1,3900,340,300,0,0,0,0,0,0,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.740,2.835,1,4,31.1,0.400,1,0,3,1.047,29.24,73.8,34.3,0.29,1976,0.073,45.0,
4,4000,27.8,36.5,6.3,0.0,0.226,93,0,-0.1,4000,29.1,38.2,6.3,0.0,0.226,93,0,-0.1,4000,-0.1,-0.1,98.7,0.0,54.5,-0.1,13.0,0,4000,1185,0,0,0,77,66,80,69,4000,0,93,0,0,0,0,0,0,4000,6.3,240.7,234.4,0.750,0.0,45,54.5,-0.1,4000,380,300,0,0,0,0,0,0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.740,2.835,1,4,31.1,0.400,1,0,4,1.047,29.24,73.8,34.3,0.29,1976,0.073,45.0,
5,4100,27.8,35.7,6.9,0.0,0.247,93,0,-0.2,4100,29.2,37.4,6.9,0.0,0.247,93,0,-0.2,4100,-0.2,-0.1,98.6,-0.1,54.5,-0.2,13.0,0,4100,1185,0,0,0,77,66,80,69,4100,0,93,0,0,0,0,0,0,4100,6.9,240.7,233.8,0.750,0.0,45,54.5,-0.2,4100,352,300,0,0,0,0,0,0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.740,2.835,1,4,31.1,0.400,1,0,5,1.047,29.24,73.8,34.4,0.29,1976,0.073,45.0,
6,4200,26.5,33.1,8.0,0.0,0.303,93,0,-0.2,4200,27.7,34.7,8.0,0.0,0.303,93,0,-0.2,4200,-0.2,-0.1,98.5,-0.1,54.5,-0.2,13.0,0,4200,1185,0,0,0,77,66,80,69,4200,0,93,0,0,0,0,0,0,4200,8.0,241.6,233.6,0.750,0.0,45,54.5,-0.2,4200,276,300,0,0,0,0,0,0,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.740,2.835,1,4,31.1,0.400,1,0,6,1.047,29.24,73.8,34.4,0.29,1976,0.073,45.0,
7,4300,27.2,33.2,7.5,0.0,0.275,93,0,-0.2,4300,28.5,34.8,7.5,0.0,0.275,93,0,-0.2,4300,-0.2,-0.1,98.7,0.0,54.5,-0.2,13.0,0,4300,1186,0,0,0,77,66,80,69,4300,0,93,0,0,0,0,0,0,4300,7.5,241.8,234.3,0.750,0.0,45,54.5,-0.2,4300,288,300,0,0,0,0,0,0,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.740,2.835,1,4,31.1,0.400,1,0,7,1.047,29.24,73.8,34.4,0.29,1976,0.073,45.0,
8,4400,28.6,34.1,6.9,0.0,0.243,93,0,-0.2,4400,29.9,35.7,6.9,0.0,0.243,93,0,-0.2,4400,-0.2,-0.1,98.8,0.0,54.5,-0.2,13.0,0,4400,1187,0,0,0,77,66,80,69,4400,0,93,0,0,0,0,0,0,4400,6.9,240.7,233.7,0.750,0.0,45,54.5,-0.2,4400,323,300,0,0,0,0,0,0,4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.740,2.835,1,4,31.1,0.400,1,0,8,1.047,29.24,73.8,34.4,0.29,1976,0.073,45.0,
9,4500,29.5,34.4,6.6,0.0,0.222,93,0,-0.2,4500,30.9,36.0,6.6,0.0,0.222,93,0,-0.2,4500,-0.2,-0.1,98.8,0.0,54.5,-0.1,13.0,0,4500,1189,0,0,0,77,66,80,69,4500,0,93,0,0,0,0,0,0,4500,6.6,239.9,233.3,0.750,0.0,45,54.5,-0.1,4500,337,300,0,0,0,0,0,0,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.740,2.835,1,4,31.1,0.400,1,0,9,1.047,29.24,73.8,34.4,0.29,1976,0.073,45.0,
