Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
1,3700,21.3,30.2,5.9,0.0,0.279,89,0,-0.2,3700,22.5,31.9,5.9,0.0,0.279,89,0,-0.2,3700,-0.2,-0.4,97.4,-0.2,54.5,-0.3,13.2,0,3700,1160,0,0,0,80,69,82,69,3700,0,89,0,0,0,0,0,0,3700,5.9,248.0,242.1,0.750,0.0,45,54.5,-0.3,3700,168,300,0,0,0,0,0,0,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.740,2.835,1,4,31.1,0.400,1,0,1,1.056,29.14,77.6,32.4,0.31,2351,0.072,48.3,
2,3800,24.2,33.4,7.6,0.0,0.315,89,0,-0.2,3800,25.5,35.3,7.6,0.0,0.315,89,0,-0.2,3800,-0.2,-0.4,97.2,-0.2,54.5,-0.3,13.2,0,3800,1161,0,0,0,80,70,82,69,3800,0,89,0,0,0,0,0,0,3800,7.6,249.6,242.0,0.750,0.0,45,54.5,-0.3,3800,272,300,0,0,0,0,0,0,3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.740,2.835,1,4,31.1,0.400,1,0,2,1.056,29.14,77.6,32.4,0.31,2351,0.072,48.3,
3,3900,25.6,34.5,8.0,0.0,0.312,90,0,-0.2,3900,27.0,36.4,8.0,0.0,0.312,90,0,-0.2,3900,-0.2,-0.4,97.2,-0.2,54.5,-0.3,13.2,0,3900,1162,0,0,0,80,70,82,69,3900,0,90,0,0,0,0,0,0,3900,8.0,249.4,241.4,0.750,0.0,45,54.5,-0.3,3900,306,300,0,0,0,0,0,0,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.740,2.835,1,4,31.1,0.400,1,0,3,1.055,29.14,77.6,32.4,0.31,2348,0.072,48.3,
4,4000,25.8,33.9,7.8,0.0,0.303,90,0,-0.2,4000,27.3,35.8,7.8,0.0,0.303,90,0,-0.2,4000,-0.2,-0.4,97.2,-0.2,54.5,-0.3,13.2,0,4000,1163,0,0,0,80,70,82,69,4000,0,90,0,0,0,0,0,0,4000,7.8,249.5,241.7,0.750,0.0,45,54.5,-0.3,4000,293,300,0,0,0,0,0,0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.740,2.835,1,4,31.1,0.400,1,0,4,1.055,29.14,77.6,32.4,0.31,2348,0.072,48.3,
5,4100,26.4,33.8,8.3,0.0,0.315,90,0,-0.2,4100,27.8,35.7,8.3,0.0,0.315,90,0,-0.2,4100,-0.2,-0.4,97.3,-0.2,54.5,-0.3,13.2,0,4100,1164,0,0,0,80,70,82,69,4100,0,90,0,0,0,0,0,0,4100,8.3,251.4,243.1,0.750,0.0,46,54.5,-0.3,4100,299,300,0,0,0,0,0,0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.740,2.835,1,4,31.1,0.400,1,0,5,1.055,29.14,77.6,32.4,0.31,2348,0.072,48.3,
6,4200,27.3,34.1,8.4,0.0,0.309,90,0,-0.2,4200,28.8,36.0,8.4,0.0,0.309,90,0,-0.2,4200,-0.2,-0.4,97.3,-0.2,54.5,-0.2,13.2,0,4200,1165,0,0,0,80,70,82,68,4200,0,90,0,0,0,0,0,0,4200,8.4,253.2,244.8,0.750,0.0,46,54.5,-0.2,4200,320,300,0,0,0,0,0,0,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.740,2.835,1,4,31.1,0.400,1,0,6,1.055,29.14,77.6,32.4,0.31,2348,0.072,48.3,
7,4300,27.8,34.0,8.3,0.0,0.297,90,0,-0.2,4300,29.4,35.9,8.3,0.0,0.297,90,0,-0.2,4300,-0.2,-0.4,97.3,-0.2,54.5,-0.2,13.2,0,4300,1166,0,0,0,80,70,82,68,4300,0,90,0,0,0,0,0,0,4300,8.3,254.6,246.3,0.750,0.0,45,54.5,-0.2,4300,322,300,0,0,0,0,0,0,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.740,2.835,1,4,31.1,0.400,1,0,7,1.055,29.14,77.6,32.4,0.31,2348,0.072,48.3,
8,4400,28.2,33.6,7.5,0.0,0.268,90,0,-0.2,4400,29.7,35.5,7.5,0.0,0.268,90,0,-0.2,4400,-0.2,-0.4,97.3,-0.2,54.5,-0.3,13.2,0,4400,1168,0,0,0,80,70,82,69,4400,0,90,0,0,0,0,0,0,4400,7.5,253.3,245.8,0.750,0.0,45,54.5,-0.3,4400,314,300,0,0,0,0,0,0,4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.740,2.835,1,4,31.1,0.400,1,0,8,1.055,29.14,77.6,32.4,0.31,2348,0.072,48.3,
9,4500,28.1,32.8,7.2,0.0,0.257,90,0,-0.2,4500,29.6,34.6,7.2,0.0,0.257,90,0,-0.2,4500,-0.2,-0.4,97.5,-0.2,54.4,-0.3,13.2,0,4500,1169,0,0,0,80,70,82,69,4500,0,90,0,0,0,0,0,0,4500,7.2,251.6,244.4,0.750,0.0,45,54.4,-0.3,4500,293,300,0,0,0,0,0,0,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.740,2.835,1,4,31.1,0.400,1,0,9,1.055,29.14,77.6,32.4,0.31,2348,0.072,48.3,
