Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
1,3700,22.4,31.8,7.1,0.0,0.315,85,0,-0.2,3700,23.4,33.2,7.1,0.0,0.315,85,0,-0.2,3700,-0.2,-0.2,98.5,-0.1,54.5,-0.2,13.1,0,3700,1132,0,0,0,78,68,79,66,3700,0,85,0,0,0,0,0,0,3700,7.1,250.2,243.2,0.750,0.0,43,54.5,-0.2,3700,163,300,0,0,0,0,0,0,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.740,2.835,1,4,31.1,0.400,1,0,1,1.044,29.30,74.0,30.7,0.26,1905,0.073,40.4,
2,3800,25.0,34.5,6.7,0.0,0.269,84,0,-0.2,3800,26.1,36.0,6.7,0.0,0.269,84,0,-0.2,3800,-0.2,-0.2,98.6,-0.1,54.5,-0.1,13.1,0,3800,1136,0,0,0,78,67,79,66,3800,0,84,0,0,0,0,0,0,3800,6.7,249.0,242.3,0.750,0.0,43,54.5,-0.1,3800,251,300,0,0,0,0,0,0,3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.740,2.835,1,4,31.1,0.400,1,0,2,1.044,29.30,74.0,30.7,0.26,1905,0.073,40.4,
3,3900,27.1,36.5,7.4,0.0,0.273,84,0,-0.2,3900,28.3,38.1,7.4,0.0,0.273,84,0,-0.2,3900,-0.2,-0.2,98.6,-0.1,54.5,-0.1,13.1,0,3900,1140,0,0,0,78,67,79,66,3900,0,84,0,0,0,0,0,0,3900,7.4,247.1,239.7,0.750,0.0,43,54.5,-0.1,3900,319,300,0,0,0,0,0,0,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.740,2.835,1,4,31.1,0.400,1,0,3,1.044,29.30,74.0,30.7,0.26,1905,0.073,40.4,
4,4000,29.0,38.1,8.5,0.0,0.291,85,0,-0.2,4000,30.3,39.8,8.5,0.0,0.291,85,0,-0.2,4000,-0.2,-0.2,98.6,-0.1,54.4,-0.1,13.1,0,4000,1142,0,0,0,78,67,79,66,4000,0,85,0,0,0,0,0,0,4000,8.5,246.8,238.3,0.750,0.0,43,54.4,-0.1,4000,377,300,0,0,0,0,0,0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.740,2.835,1,4,31.1,0.400,1,0,4,1.044,29.30,74.0,30.7,0.26,1903,0.073,40.4,
5,4100,29.7,38.0,9.2,0.0,0.310,85,0,-0.2,4100,31.0,39.7,9.2,0.0,0.310,85,0,-0.2,4100,-0.2,-0.1,98.7,-0.1,54.4,-0.1,13.1,0,4100,1144,0,0,0,78,67,79,66,4100,0,85,0,0,0,0,0,0,4100,9.2,247.2,238.0,0.750,0.0,43,54.4,-0.1,4100,376,300,0,0,0,0,0,0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.740,2.835,1,4,31.1,0.400,1,0,5,1.044,29.30,74.0,30.7,0.26,1903,0.073,40.4,
6,4200,29.0,36.2,9.3,0.0,0.322,85,0,-0.2,4200,30.2,37.8,9.3,0.0,0.322,85,0,-0.2,4200,-0.2,-0.1,98.9,0.0,54.4,-0.2,13.1,0,4200,1148,0,0,0,78,67,79,66,4200,0,85,0,0,0,0,0,0,4200,9.3,247.2,237.9,0.750,0.0,43,54.4,-0.2,4200,322,300,0,0,0,0,0,0,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.740,2.835,1,4,31.1,0.400,1,0,6,1.044,29.30,74.0,30.7,0.26,1905,0.073,40.4,
7,4300,28.8,35.1,9.7,0.0,0.337,85,0,-0.2,4300,30.0,36.7,9.7,0.0,0.337,85,0,-0.2,4300,-0.2,-0.1,98.9,0.0,54.4,-0.2,13.1,0,4300,1152,0,0,0,78,67,79,66,4300,0,85,0,0,0,0,0,0,4300,9.7,247.8,238.1,0.750,0.0,43,54.4,-0.2,4300,295,300,0,0,0,0,0,0,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.740,2.835,1,4,31.1,0.400,1,0,7,1.044,29.30,74.0,30.7,0.26,1903,0.073,40.4,
8,4400,29.8,35.6,9.6,0.0,0.322,85,0,-0.2,4400,31.1,37.2,9.6,0.0,0.322,85,0,-0.2,4400,-0.2,-0.1,98.8,-0.1,54.4,-0.2,13.1,0,4400,1156,0,0,0,78,67,79,66,4400,0,85,0,0,0,0,0,0,4400,9.6,248.0,238.4,0.750,0.0,43,54.4,-0.2,4400,315,300,0,0,0,0,0,0,4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.740,2.835,1,4,31.1,0.400,1,0,8,1.044,29.30,74.0,30.7,0.26,1903,0.073,40.4,
9,4500,30.5,35.5,7.7,0.0,0.253,84,0,-0.2,4500,31.8,37.1,7.7,0.0,0.253,84,0,-0.2,4500,-0.2,-0.1,98.7,-0.1,54.4,-0.2,13.1,0,4500,1159,0,0,0,78,67,79,66,4500,0,84,0,0,0,0,0,0,4500,7.7,246.5,238.8,0.750,0.0,44,54.4,-0.2,4500,318,300,0,0,0,0,0,0,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.740,2.835,1,4,31.1,0.400,1,0,9,1.044,29.30,74.0,30.7,0.26,1903,0.073,40.4,
