Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
1,3700,22.6,32.1,7.6,0.0,0.336,85,0,-0.2,3700,23.6,33.5,7.6,0.0,0.336,85,0,-0.2,3700,-0.2,-0.2,98.5,-0.1,54.5,-0.2,13.2,0,3700,1160,0,0,0,78,67,79,66,3700,0,85,0,0,0,0,0,0,3700,7.6,267.0,259.4,0.750,0.0,41,54.5,-0.2,3700,175,300,0,0,0,0,0,0,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.740,2.835,1,4,31.1,0.400,1,0,1,1.044,29.30,74.0,30.8,0.26,1902,0.073,40.4,
2,3800,24.3,33.5,7.6,0.0,0.315,85,0,-0.2,3800,25.3,35.0,7.6,0.0,0.315,85,0,-0.2,3800,-0.2,-0.2,98.7,-0.1,54.5,-0.2,13.2,0,3800,1163,0,0,0,78,67,79,66,3800,0,85,0,0,0,0,0,0,3800,7.6,267.1,259.4,0.750,0.0,41,54.5,-0.2,3800,226,300,0,0,0,0,0,0,3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.740,2.835,1,4,31.1,0.400,1,0,2,1.044,29.30,74.0,30.8,0.26,1902,0.073,40.4,
3,3900,26.8,36.0,6.9,0.0,0.259,85,0,-0.2,3900,28.0,37.6,6.9,0.0,0.259,85,0,-0.2,3900,-0.2,-0.1,98.7,-0.1,54.5,-0.2,13.2,0,3900,1165,0,0,0,78,67,79,66,3900,0,85,0,0,0,0,0,0,3900,6.9,266.1,259.2,0.750,0.0,41,54.5,-0.2,3900,316,300,0,0,0,0,0,0,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.740,2.835,1,4,31.1,0.400,1,0,3,1.044,29.30,74.0,30.8,0.26,1902,0.073,40.4,
4,4000,28.8,37.9,6.8,0.0,0.234,85,0,-0.2,4000,30.1,39.5,6.8,0.0,0.234,85,0,-0.2,4000,-0.2,-0.2,98.7,-0.1,54.5,-0.2,13.2,0,4000,1166,0,0,0,78,67,79,66,4000,0,85,0,0,0,0,0,0,4000,6.8,265.3,258.5,0.750,0.0,41,54.5,-0.2,4000,379,300,0,0,0,0,0,0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.740,2.835,1,4,31.1,0.400,1,0,4,1.044,29.30,74.0,30.8,0.26,1902,0.073,40.4,
5,4100,29.8,38.2,6.7,0.0,0.224,85,0,-0.2,4100,31.2,39.9,6.7,0.0,0.224,85,0,-0.2,4100,-0.2,-0.2,98.6,-0.1,54.5,-0.2,13.2,0,4100,1167,0,0,0,78,67,79,66,4100,0,85,0,0,0,0,0,0,4100,6.7,264.4,257.7,0.750,0.0,41,54.5,-0.2,4100,393,300,0,0,0,0,0,0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.740,2.835,1,4,31.1,0.400,1,0,5,1.044,29.30,74.0,30.8,0.26,1902,0.073,40.4,
6,4200,29.1,36.3,5.9,0.0,0.204,85,0,-0.2,4200,30.3,37.9,5.9,0.0,0.204,85,0,-0.2,4200,-0.2,-0.2,98.4,-0.1,54.5,-0.2,13.2,0,4200,1169,0,0,0,78,67,79,66,4200,0,85,0,0,0,0,0,0,4200,5.9,262.9,257.0,0.750,0.0,42,54.5,-0.2,4200,334,300,0,0,0,0,0,0,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.740,2.835,1,4,31.1,0.400,1,0,6,1.044,29.30,74.0,30.8,0.26,1902,0.073,40.4,
7,4300,28.1,34.3,5.6,0.0,0.200,84,0,-0.2,4300,29.3,35.8,5.6,0.0,0.200,84,0,-0.2,4300,-0.2,-0.2,98.5,-0.1,54.5,-0.2,13.2,0,4300,1171,0,0,0,78,67,79,66,4300,0,84,0,0,0,0,0,0,4300,5.6,263.1,257.4,0.750,0.0,42,54.5,-0.2,4300,275,300,0,0,0,0,0,0,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.740,2.835,1,4,31.1,0.400,1,0,7,1.044,29.30,74.0,30.8,0.26,1902,0.073,40.4,
8,4400,28.6,34.1,6.6,0.0,0.230,84,0,-0.1,4400,29.8,35.6,6.6,0.0,0.230,84,0,-0.1,4400,-0.1,-0.2,98.6,-0.1,54.5,-0.2,13.2,0,4400,1174,0,0,0,78,67,79,66,4400,0,84,0,0,0,0,0,0,4400,6.6,265.5,258.9,0.750,0.0,42,54.5,-0.2,4400,279,300,0,0,0,0,0,0,4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.740,2.835,1,4,31.1,0.400,1,0,8,1.044,29.30,74.0,30.8,0.26,1901,0.073,40.4,
9,4500,30.1,35.1,6.6,0.0,0.219,84,0,-0.1,4500,31.4,36.7,6.6,0.0,0.219,84,0,-0.1,4500,-0.1,-0.1,98.7,-0.1,54.6,-0.2,13.2,0,4500,1176,0,0,0,78,67,79,66,4500,0,84,0,0,0,0,0,0,4500,6.6,266.6,260.0,0.750,0.0,43,54.6,-0.2,4500,320,300,0,0,0,0,0,0,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.740,2.835,1,4,31.1,0.400,1,0,9,1.044,29.30,74.0,30.8,0.26,1902,0.073,40.4,
