Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
1,3700,20.8,29.5,8.0,0.0,0.387,85,0,-0.1,3700,21.7,30.8,8.0,0.0,0.387,85,0,-0.1,3700,-0.1,-0.1,99.1,0.0,54.8,-0.2,13.2,0,3700,1139,0,0,0,78,67,81,67,3700,0,85,0,0,0,0,0,0,3700,8.0,298.8,290.7,0.750,0.0,30,54.8,-0.2,3700,134,300,0,0,0,0,0,0,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.740,2.835,1,4,31.1,0.400,1,0,1,1.044,29.35,75.9,30.0,0.27,1961,0.073,42.0,
2,3800,21.7,30.0,6.4,0.0,0.295,85,0,-0.1,3800,22.7,31.3,6.4,0.0,0.295,85,0,-0.1,3800,-0.1,-0.1,99.0,-0.1,54.8,-0.2,13.2,0,3800,1141,0,0,0,78,67,81,67,3800,0,85,0,0,0,0,0,0,3800,6.4,297.9,291.5,0.750,0.0,30,54.8,-0.2,3800,165,300,0,0,0,0,0,0,3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.740,2.835,1,4,31.1,0.400,1,0,2,1.044,29.35,75.9,30.0,0.27,1962,0.073,42.0,
3,3900,24.2,32.6,4.9,0.0,0.202,85,0,-0.1,3900,25.3,34.1,4.9,0.0,0.202,85,0,-0.1,3900,-0.1,-0.2,98.8,-0.1,54.8,-0.1,13.2,0,3900,1142,0,0,0,78,67,81,67,3900,0,85,0,0,0,0,0,0,3900,4.9,295.8,290.9,0.750,0.0,31,54.8,-0.1,3900,271,300,0,0,0,0,0,0,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.740,2.835,1,4,31.1,0.400,1,0,3,1.044,29.35,75.9,30.0,0.27,1962,0.073,42.0,
4,4000,26.7,35.0,5.6,0.0,0.210,85,0,-0.1,4000,27.9,36.6,5.6,0.0,0.210,85,0,-0.1,4000,-0.1,-0.2,98.7,-0.1,54.8,-0.1,13.2,0,4000,1142,0,0,0,78,67,81,67,4000,0,85,0,0,0,0,0,0,4000,5.6,295.8,290.2,0.750,0.0,31,54.8,-0.1,4000,359,300,0,0,0,0,0,0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.740,2.835,1,4,31.1,0.400,1,0,4,1.044,29.35,75.9,30.0,0.27,1962,0.073,42.0,
5,4100,28.5,36.5,6.4,0.0,0.226,85,0,-0.1,4100,29.7,38.1,6.4,0.0,0.226,85,0,-0.1,4100,-0.1,-0.2,98.7,-0.1,54.8,-0.1,13.2,0,4100,1142,0,0,0,78,67,81,67,4100,0,85,0,0,0,0,0,0,4100,6.4,296.3,289.8,0.750,0.0,31,54.8,-0.1,4100,412,300,0,0,0,0,0,0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.740,2.835,1,4,31.1,0.400,1,0,5,1.044,29.35,75.9,30.0,0.27,1962,0.073,42.0,
6,4200,28.9,36.2,7.6,0.0,0.261,85,0,-0.1,4200,30.2,37.8,7.6,0.0,0.261,85,0,-0.1,4200,-0.1,-0.2,98.8,-0.1,54.8,-0.1,13.2,0,4200,1142,0,0,0,78,67,81,67,4200,0,85,0,0,0,0,0,0,4200,7.6,296.9,289.4,0.750,0.0,31,54.8,-0.1,4200,409,300,0,0,0,0,0,0,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.740,2.835,1,4,31.1,0.400,1,0,6,1.044,29.35,75.9,30.0,0.27,1962,0.073,42.0,
7,4300,28.2,34.5,8.2,0.0,0.290,85,0,-0.1,4300,29.5,36.0,8.2,0.0,0.290,85,0,-0.1,4300,-0.1,-0.2,98.9,-0.1,54.8,-0.1,13.2,0,4300,1141,0,0,0,78,67,81,67,4300,0,85,0,0,0,0,0,0,4300,8.2,297.5,289.4,0.750,0.0,31,54.8,-0.1,4300,361,300,0,0,0,0,0,0,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.740,2.835,1,4,31.1,0.400,1,0,7,1.044,29.35,75.9,30.0,0.27,1962,0.073,42.0,
8,4400,27.5,32.9,7.1,0.0,0.257,85,0,-0.1,4400,28.7,34.3,7.1,0.0,0.257,85,0,-0.1,4400,-0.1,-0.1,98.9,-0.1,54.8,-0.1,13.2,0,4400,1141,0,0,0,78,67,81,67,4400,0,85,0,0,0,0,0,0,4400,7.1,295.9,288.8,0.750,0.0,31,54.8,-0.1,4400,321,300,0,0,0,0,0,0,4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.740,2.835,1,4,31.1,0.400,1,0,8,1.044,29.35,75.9,30.0,0.27,1962,0.073,42.0,
9,4500,28.2,32.9,6.6,0.0,0.235,85,0,-0.1,4500,29.4,34.3,6.6,0.0,0.235,85,0,-0.1,4500,-0.1,-0.2,98.9,-0.1,54.8,-0.1,13.2,0,4500,1141,0,0,0,78,67,81,67,4500,0,85,0,0,0,0,0,0,4500,6.6,294.4,287.8,0.750,0.0,32,54.8,-0.1,4500,328,300,0,0,0,0,0,0,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.740,2.835,1,4,31.1,0.400,1,0,9,1.044,29.35,75.9,30.0,0.27,1962,0.073,42.0,
10,4600,29.2,33.3,6.7,0.0,0.230,85,0,-0.1,4600,30.5,34.8,6.7,0.0,0.230,85,0,-0.1,4600,-0.1,-0.2,98.8,-0.1,54.8,-0.1,13.2,0,4600,1141,0,0,0,78,67,81,67,4600,0,85,0,0,0,0,0,0,4600,6.7,293.6,286.9,0.750,0.0,32,54.8,-0.1,4600,339,300,0,0,0,0,0,0,4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3.740,2.835,1,4,31.1,0.400,1,0,10,1.044,29.35,75.9,30.0,0.27,1962,0.073,42.0,
11,4700,29.8,33.3,7.9,0.0,0.266,85,0,-0.1,4700,31.1,34.8,7.9,0.0,0.266,85,0,-0.1,4700,-0.1,-0.2,98.7,-0.1,54.7,-0.1,13.2,0,4700,1142,0,0,0,78,67,81,67,4700,0,85,0,0,0,0,0,0,4700,7.9,293.5,285.6,0.750,0.0,32,54.7,-0.1,4700,334,300,0,0,0,0,0,0,4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3.740,2.835,1,4,31.1,0.400,1,0,11,1.044,29.35,75.9,30.0,0.27,1962,0.073,42.0,
12,4800,30.3,33.2,8.3,0.0,0.273,85,0,-0.1,4800,31.7,34.6,8.3,0.0,0.273,85,0,-0.1,4800,-0.1,-0.2,98.6,-0.1,54.7,-0.1,13.2,0,4800,1144,0,0,0,78,67,81,67,4800,0,85,0,0,0,0,0,0,4800,8.3,292.4,284.1,0.750,0.0,32,54.7,-0.1,4800,327,300,0,0,0,0,0,0,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3.740,2.835,1,4,31.1,0.400,1,0,12,1.044,29.35,75.9,30.0,0.27,1962,0.073,42.0,
13,4900,31.2,33.5,7.0,0.0,0.223,85,0,-0.1,4900,32.6,35.0,7.0,0.0,0.223,85,0,-0.1,4900,-0.1,-0.2,98.6,-0.1,54.7,-0.1,13.2,0,4900,1146,0,0,0,78,67,81,67,4900,0,85,0,0,0,0,0,0,4900,7.0,291.3,284.4,0.750,0.0,32,54.7,-0.1,4900,331,300,0,0,0,0,0,0,4900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3.740,2.835,1,4,31.1,0.400,1,0,13,1.044,29.35,75.9,30.0,0.27,1962,0.073,42.0,
14,5000,31.6,33.2,7.0,0.0,0.222,85,0,-0.1,5000,33.0,34.7,7.0,0.0,0.222,85,0,-0.1,5000,-0.1,-0.2,98.6,-0.1,54.7,-0.1,13.2,0,5000,1147,0,0,0,78,67,81,67,5000,0,85,0,0,0,0,0,0,5000,7.0,291.4,284.4,0.750,0.0,32,54.7,-0.1,5000,314,300,0,0,0,0,0,0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3.740,2.835,1,4,31.1,0.400,1,0,14,1.044,29.35,75.9,30.0,0.27,1962,0.073,42.0,
15,5100,32.8,33.8,8.3,0.0,0.251,85,0,-0.1,5100,34.3,35.3,8.3,0.0,0.251,85,0,-0.1,5100,-0.1,-0.2,98.7,-0.1,54.7,-0.1,13.2,0,5100,1148,0,0,0,78,67,81,67,5100,0,85,0,0,0,0,0,0,5100,8.3,293.0,284.8,0.750,0.0,33,54.7,-0.1,5100,323,300,0,0,0,0,0,0,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3.740,2.835,1,4,31.1,0.400,1,0,15,1.044,29.35,75.9,30.0,0.27,1962,0.073,42.0,
16,5200,34.9,35.2,9.3,0.0,0.268,85,0,-0.1,5200,36.4,36.8,9.3,0.0,0.268,85,0,-0.1,5200,-0.1,-0.2,98.7,-0.1,54.7,-0.1,13.2,0,5200,1148,0,0,0,78,67,81,68,5200,0,85,0,0,0,0,0,0,5200,9.3,293.8,284.4,0.750,0.0,33,54.7,-0.1,5200,354,300,0,0,0,0,0,0,5200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3.740,2.835,1,4,31.1,0.400,1,0,16,1.044,29.35,75.9,30.0,0.27,1962,0.073,42.0,
