Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
10,4600,29.0,33.1,7.2,0.0,0.250,85,0,0.0,4600,30.4,34.7,7.2,0.0,0.250,85,0,0.0,4600,0.0,0.2,100.9,0.1,54.8,0.0,13.2,0,4600,1200,0,0,0,78,65,83,68,4600,0,85,0,0,0,0,0,0,4600,7.2,279.0,271.8,0.750,0.0,37,54.8,0.0,4600,348,300,0,0,0,0,0,0,4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3.740,2.835,1,4,31.1,0.400,1,0,10,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
11,4700,31.1,34.8,7.3,0.0,0.236,85,0,0.0,4700,32.7,36.5,7.3,0.0,0.236,85,0,0.0,4700,0.0,0.2,100.9,0.1,54.8,0.0,13.2,0,4700,1199,0,0,0,78,65,83,68,4700,0,85,0,0,0,0,0,0,4700,7.3,279.6,272.2,0.750,0.0,37,54.8,0.0,4700,402,300,0,0,0,0,0,0,4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3.740,2.835,1,4,31.1,0.400,1,0,11,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
12,4800,32.7,35.8,8.0,0.0,0.244,85,0,0.0,4800,34.4,37.6,8.0,0.0,0.244,85,0,0.0,4800,0.0,0.2,100.9,0.1,54.8,0.0,13.2,0,4800,1198,0,0,0,78,65,83,68,4800,0,85,0,0,0,0,0,0,4800,8.0,279.9,271.9,0.750,0.0,37,54.8,0.0,4800,425,300,0,0,0,0,0,0,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3.740,2.835,1,4,31.1,0.400,1,0,12,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
13,4900,33.4,35.8,8.9,0.0,0.267,85,0,0.0,4900,35.1,37.6,8.9,0.0,0.267,85,0,0.0,4900,0.0,0.2,101.0,0.1,54.8,0.0,13.2,0,4900,1198,0,0,0,78,65,83,68,4900,0,85,0,0,0,0,0,0,4900,8.9,279.9,271.0,0.750,0.0,37,54.8,0.0,4900,412,300,0,0,0,0,0,0,4900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3.740,2.835,1,4,31.1,0.400,1,0,13,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
14,5000,32.3,34.0,10.5,0.0,0.324,85,0,0.0,5000,34.0,35.7,10.5,0.0,0.324,85,0,0.0,5000,0.0,0.3,101.1,0.1,54.8,0.0,13.2,0,5000,1198,0,0,0,78,64,83,68,5000,0,85,0,0,0,0,0,0,5000,10.5,279.7,269.2,0.750,0.0,37,54.8,0.0,5000,335,300,0,0,0,0,0,0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3.740,2.835,1,4,31.1,0.400,1,0,14,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
15,5100,30.4,31.3,8.8,0.0,0.289,85,0,0.0,5100,31.9,32.9,8.8,0.0,0.289,85,0,0.0,5100,0.0,0.3,101.1,0.1,54.8,0.0,13.2,0,5100,1200,0,0,0,78,64,83,68,5100,0,85,0,0,0,0,0,0,5100,8.8,279.2,270.4,0.750,0.0,37,54.8,0.0,5100,244,300,0,0,0,0,0,0,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3.740,2.835,1,4,31.1,0.400,1,0,15,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
16,5200,32.3,32.6,7.7,0.0,0.238,85,0,0.0,5200,33.9,34.2,7.7,0.0,0.238,85,0,0.0,5200,0.0,0.2,101.0,0.1,54.8,0.0,13.2,0,5200,1202,0,0,0,78,64,83,68,5200,0,85,0,0,0,0,0,0,5200,7.7,278.8,271.1,0.750,0.0,38,54.8,0.0,5200,283,300,0,0,0,0,0,0,5200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3.740,2.835,1,4,31.1,0.400,1,0,16,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
17,5300,34.2,33.9,8.3,0.0,0.242,85,0,0.0,5300,35.9,35.6,8.3,0.0,0.242,85,0,0.0,5300,0.0,0.2,100.9,0.1,54.8,0.0,13.2,0,5300,1205,0,0,0,78,64,83,68,5300,0,85,0,0,0,0,0,0,5300,8.3,278.6,270.4,0.750,0.0,38,54.8,0.0,5300,319,300,0,0,0,0,0,0,5300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3.740,2.835,1,4,31.1,0.400,1,0,17,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
18,5400,35.8,34.9,8.3,0.0,0.233,85,0,0.0,5400,37.6,36.6,8.3,0.0,0.233,85,0,0.0,5400,0.0,0.2,100.9,0.1,54.8,0.0,13.2,0,5400,1207,0,0,0,78,64,83,69,5400,0,85,0,0,0,0,0,0,5400,8.3,279.6,271.3,0.750,0.0,38,54.8,0.0,5400,337,300,0,0,0,0,0,0,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3.740,2.835,1,4,31.1,0.400,1,0,18,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
19,5500,38.2,36.4,9.9,0.0,0.259,85,0,0.0,5500,40.1,38.3,9.9,0.0,0.259,85,0,0.0,5500,0.0,0.2,100.9,0.1,54.8,0.0,13.2,0,5500,1209,0,0,0,78,64,83,69,5500,0,85,0,0,0,0,0,0,5500,9.9,281.3,271.4,0.750,0.0,38,54.8,0.0,5500,363,300,0,0,0,0,0,0,5500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3.740,2.835,1,4,31.1,0.400,1,0,19,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
