Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
1,3500,20.2,30.4,4.0,0.0,0.196,93,0,-0.2,3500,21.4,32.1,4.0,0.0,0.196,93,0,-0.2,3500,-0.2,-0.3,98.0,-0.1,54.7,-0.2,13.1,0,3500,1124,0,0,0,79,69,80,67,3500,0,93,0,0,0,0,0,0,3500,4.0,259.4,255.4,0.750,0.0,30,54.7,-0.2,3500,176,300,0,0,0,0,0,0,3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.740,2.835,1,4,31.1,0.400,1,0,1,1.058,29.21,75.2,58.6,0.52,2195,0.072,80.5,
2,3600,23.6,34.4,6.2,0.0,0.262,93,0,-0.2,3600,25.0,36.4,6.2,0.0,0.262,93,0,-0.2,3600,-0.2,-0.3,98.1,-0.1,54.7,-0.2,13.1,0,3600,1124,0,0,0,79,69,80,67,3600,0,93,0,0,0,0,0,0,3600,6.2,259.8,253.6,0.750,0.0,31,54.7,-0.2,3600,313,300,0,0,0,0,0,0,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.740,2.835,1,4,31.1,0.400,1,0,2,1.058,29.21,75.2,58.6,0.52,2195,0.072,80.5,
3,3700,24.9,35.3,7.5,0.0,0.300,93,0,-0.2,3700,26.3,37.4,7.5,0.0,0.300,93,0,-0.2,3700,-0.2,-0.3,98.0,-0.1,54.7,-0.2,13.1,0,3700,1124,0,0,0,79,69,80,67,3700,0,93,0,0,0,0,0,0,3700,7.5,259.8,252.3,0.750,0.0,31,54.7,-0.2,3700,342,300,0,0,0,0,0,0,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.740,2.835,1,4,31.1,0.400,1,0,3,1.058,29.21,75.2,58.6,0.52,2196,0.072,80.6,
4,3800,24.1,33.4,7.5,0.0,0.311,94,0,-0.2,3800,25.5,35.3,7.5,0.0,0.311,94,0,-0.2,3800,-0.2,-0.3,97.9,-0.1,54.7,-0.2,13.1,0,3800,1122,0,0,0,79,69,80,67,3800,0,94,0,0,0,0,0,0,3800,7.5,258.9,251.4,0.750,0.0,30,54.7,-0.2,3800,279,300,0,0,0,0,0,0,3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.740,2.835,1,4,31.1,0.400,1,0,4,1.058,29.21,75.2,58.6,0.52,2196,0.072,80.6,
5,3900,24.8,33.3,7.7,0.0,0.311,94,0,-0.2,3900,26.2,35.3,7.7,0.0,0.311,94,0,-0.2,3900,-0.2,-0.4,97.7,-0.2,54.7,-0.2,13.1,0,3900,1120,0,0,0,79,69,80,67,3900,0,94,0,0,0,0,0,0,3900,7.7,258.7,251.0,0.750,0.0,30,54.7,-0.2,3900,293,300,0,0,0,0,0,0,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.740,2.835,1,4,31.1,0.400,1,0,5,1.058,29.21,75.2,58.6,0.52,2196,0.072,80.6,
6,4000,27.7,36.4,7.8,0.0,0.283,94,0,-0.2,4000,29.3,38.5,7.8,0.0,0.283,94,0,-0.2,4000,-0.2,-0.4,97.7,-0.2,54.7,-0.2,13.1,0,4000,1120,0,0,0,79,69,80,67,4000,0,94,0,0,0,0,0,0,4000,7.8,258.6,250.8,0.750,0.0,30,54.7,-0.2,4000,398,300,0,0,0,0,0,0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.740,2.835,1,4,31.1,0.400,1,0,6,1.058,29.21,75.2,58.6,0.52,2196,0.072,80.6,
7,4100,29.6,38.0,7.4,0.0,0.249,94,0,-0.2,4100,31.3,40.1,7.4,0.0,0.249,94,0,-0.2,4100,-0.2,-0.4,97.7,-0.2,54.7,-0.2,13.1,0,4100,1119,0,0,0,79,69,80,67,4100,0,94,0,0,0,0,0,0,4100,7.4,258.5,251.2,0.750,0.0,30,54.7,-0.2,4100,448,300,0,0,0,0,0,0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.740,2.835,1,4,31.1,0.400,1,0,7,1.058,29.21,75.2,58.6,0.52,2196,0.072,80.6,
8,4200,30.1,37.7,6.3,0.0,0.210,95,0,-0.2,4200,31.9,39.8,6.3,0.0,0.210,95,0,-0.2,4200,-0.2,-0.4,97.7,-0.2,54.7,-0.2,13.1,0,4200,1119,0,0,0,79,69,80,67,4200,0,95,0,0,0,0,0,0,4200,6.3,258.1,251.7,0.750,0.0,30,54.7,-0.2,4200,434,300,0,0,0,0,0,0,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.740,2.835,1,4,31.1,0.400,1,0,8,1.058,29.21,75.2,58.6,0.52,2196,0.072,80.6,
9,4300,28.1,34.3,4.7,0.0,0.166,96,0,-0.3,4300,29.8,36.3,4.7,0.0,0.166,96,0,-0.3,4300,-0.3,-0.4,97.7,-0.2,54.7,-0.2,13.1,0,4300,1120,0,0,0,79,68,80,67,4300,0,96,0,0,0,0,0,0,4300,4.7,257.2,252.6,0.750,0.0,29,54.7,-0.2,4300,321,300,0,0,0,0,0,0,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.740,2.835,1,4,31.1,0.400,1,0,9,1.058,29.21,75.2,58.6,0.52,2196,0.072,80.6,
