Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains
33,6800,54.8,42.3,20.7,0,0.378,128,0,-0.1,6800,56.8,43.9,20.7,0,0.378,128,0,-0.1,6800,-0.1,-0.1,99.7,0,54.9,-0.1,13.1,0,6800,1236,0,0,0,75,67,76,68,6800,0,128,0,0,0,0,0,0,6800,20.7,279,258.3,0.75,0,27,54.9,-0.1,6800,301,300,0,0,0,0,0,0,6800,0,0,0,0,0,0,0,0,33,3.74,2.835,1,4,31.1,0.4,1,0,33,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
34,6900,55.4,42.2,18.7,0,0.337,128,0,-0.1,6900,57.5,43.7,18.7,0,0.337,128,0,-0.1,6900,-0.1,-0.1,99.7,0,54.8,-0.1,13.1,0,6900,1242,0,0,0,75,67,76,68,6900,0,128,0,0,0,0,0,0,6900,18.7,276.5,257.8,0.75,0,27,54.8,-0.1,6900,286,300,0,0,0,0,0,0,6900,0,0,0,0,0,0,0,0,34,3.74,2.835,1,4,31.1,0.4,1,0,34,1.037,29.51,70.5,46.9,0.35,1462,0.074,53.9
35,7000,55.9,41.9,18.4,0,0.33,128,0,-0.1,7000,57.9,43.4,18.4,0,0.33,128,0,-0.1,7000,-0.1,0,99.8,0,54.8,-0.1,13.1,0,7000,1249,0,0,0,75,67,76,68,7000,0,128,0,0,0,0,0,0,7000,18.4,275.4,256.9,0.75,0,27,54.8,-0.1,7000,278,300,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,35,3.74,2.835,1,4,31.1,0.4,1,0,35,1.037,29.51,70.5,46.9,0.35,1462,0.074,53.9
36,7100,56.9,42.1,22,0,0.386,128,0,-0.1,7100,59,43.7,22,0,0.386,128,0,-0.1,7100,-0.1,0,99.8,0,54.8,-0.1,13.1,0,7100,1255,0,0,0,75,67,76,68,7100,0,128,0,0,0,0,0,0,7100,22,277.2,255.2,0.75,0,27,54.8,-0.1,7100,289,300,0,0,0,0,0,0,7100,0,0,0,0,0,0,0,0,36,3.74,2.835,1,4,31.1,0.4,1,0,36,1.037,29.51,70.5,46.9,0.35,1462,0.074,53.9
37,7200,57.8,42.1,24,0,0.415,128,0,0,7200,59.9,43.7,24,0,0.415,128,0,0,7200,0,-0.1,99.7,0,54.8,-0.1,13.1,0,7200,1261,0,0,0,75,67,76,68,7200,0,128,0,0,0,0,0,0,7200,24,277.6,253.6,0.75,0,27,54.8,-0.1,7200,293,300,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,37,3.74,2.835,1,4,31.1,0.4,1,0,37,1.037,29.51,70.5,46.9,0.35,1464,0.074,53.9
38,7300,58.7,42.2,22.7,0,0.387,128,0,0,7300,60.8,43.8,22.7,0,0.387,128,0,0,7300,0,-0.1,99.7,0,54.8,-0.1,13.1,0,7300,1266,0,0,0,75,67,76,68,7300,0,128,0,0,0,0,0,0,7300,22.7,275.7,252.9,0.75,0,27,54.8,-0.1,7300,299,300,0,0,0,0,0,0,7300,0,0,0,0,0,0,0,0,38,3.74,2.835,1,4,31.1,0.4,1,0,38,1.037,29.51,70.5,46.9,0.35,1464,0.074,53.9
39,7400,59.2,42,20.6,0,0.347,128,0,0,7400,61.3,43.5,20.6,0,0.347,128,0,0,7400,0,-0.1,99.6,0,54.8,-0.1,13.1,0,7400,1270,0,0,0,75,67,76,68,7400,0,128,0,0,0,0,0,0,7400,20.6,273.4,252.9,0.75,0,26,54.8,-0.1,7400,293,300,0,0,0,0,0,0,7400,0,0,0,0,0,0,0,0,39,3.74,2.835,1,4,31.1,0.4,1,0,39,1.037,29.51,70.5,46.9,0.35,1464,0.074,53.9
40,7500,60.1,42.1,19.1,0,0.318,128,0,0,7500,62.3,43.6,19.1,0,0.318,128,0,0,7500,0,-0.1,99.7,0,54.8,-0.1,13.1,0,7500,1276,0,0,0,75,67,76,68,7500,0,128,0,0,0,0,0,0,7500,19.1,273.2,254.1,0.75,0,26,54.8,-0.1,7500,293,300,0,0,0,0,0,0,7500,0,0,0,0,0,0,0,0,40,3.74,2.835,1,4,31.1,0.4,1,0,40,1.037,29.51,70.5,46.9,0.35,1464,0.074,53.9
41,7600,61.3,42.4,19.4,0,0.316,128,0,0,7600,63.5,43.9,19.4,0,0.316,128,0,0,7600,0,-0.1,99.7,0,54.8,-0.1,13.1,0,7600,1281,0,0,0,75,67,76,68,7600,0,128,0,0,0,0,0,0,7600,19.4,273.9,254.5,0.75,0,26,54.8,-0.1,7600,299,300,0,0,0,0,0,0,7600,0,0,0,0,0,0,0,0,41,3.74,2.835,1,4,31.1,0.4,1,0,41,1.037,29.51,70.5,46.9,0.35,1464,0.074,53.9
42,7700,62.8,42.8,20.2,0,0.322,128,0,0,7700,65.1,44.4,20.2,0,0.322,128,0,0,7700,0,0,99.8,0,54.8,-0.2,13.1,0,7700,1286,0,0,0,75,67,76,68,7700,0,128,0,0,0,0,0,0,7700,20.2,274.3,254.1,0.75,0,26,54.8,-0.2,7700,306,300,0,0,0,0,0,0,7700,0,0,0,0,0,0,0,0,42,3.74,2.835,1,4,31.1,0.4,1,0,42,1.037,29.51,70.5,46.9,0.35,1464,0.074,53.9
43,7800,63.2,42.5,19.7,0,0.312,128,0,0,7800,65.5,44.1,19.7,0,0.312,128,0,0,7800,0,0,99.8,0,54.8,-0.1,13.1,0,7800,1292,0,0,0,75,67,76,68,7800,0,128,0,0,0,0,0,0,7800,19.7,272.9,253.2,0.75,0,26,54.8,-0.1,7800,292,300,0,0,0,0,0,0,7800,0,0,0,0,0,0,0,0,43,3.74,2.835,1,4,31.1,0.4,1,0,43,1.037,29.51,70.5,46.9,0.35,1464,0.074,53.9
44,7900,64.2,42.7,20.9,0,0.325,128,0,-0.1,7900,66.5,44.2,20.9,0,0.325,128,0,-0.1,7900,-0.1,-0.1,99.7,0,54.7,-0.1,13.1,0,7900,1300,0,0,0,75,67,76,68,7900,0,128,0,0,0,0,0,0,7900,20.9,272.8,251.9,0.75,0,26,54.7,-0.1,7900,291,300,0,0,0,0,0,0,7900,0,0,0,0,0,0,0,0,44,3.74,2.835,1,4,31.1,0.4,1,0,44,1.037,29.51,70.5,46.9,0.35,1464,0.074,53.9
45,8000,65.1,42.8,23.5,0,0.36,128,0,-0.1,8000,67.5,44.3,23.5,0,0.36,128,0,-0.1,8000,-0.1,-0.1,99.7,0,54.8,-0.1,13.1,0,8000,1306,0,0,0,75,67,76,69,8000,0,128,0,0,0,0,0,0,8000,23.5,274.1,250.6,0.75,0,26,54.8,-0.1,8000,291,300,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,45,3.74,2.835,1,4,31.1,0.4,1,0,45,1.037,29.51,70.5,46.9,0.35,1462,0.074,53.9
46,8100,65.8,42.6,25.4,0,0.387,128,0,-0.1,8100,68.2,44.2,25.4,0,0.387,128,0,-0.1,8100,-0.1,-0.1,99.7,0,54.8,-0.1,13.1,0,8100,1315,0,0,0,75,67,76,69,8100,0,128,0,0,0,0,0,0,8100,25.4,274.9,249.4,0.75,0,26,54.8,-0.1,8100,285,300,0,0,0,0,0,0,8100,0,0,0,0,0,0,0,0,46,3.74,2.835,1,4,31.1,0.4,1,0,46,1.037,29.51,70.5,46.9,0.35,1462,0.074,53.9
47,8200,66.7,42.7,23.9,0,0.358,128,0,-0.1,8200,69.2,44.3,23.9,0,0.358,128,0,-0.1,8200,-0.1,-0.1,99.7,0,54.8,-0.1,13.1,0,8200,1323,0,0,0,75,67,76,69,8200,0,128,0,0,0,0,0,0,8200,23.9,272.6,248.7,0.75,0,26,54.8,-0.1,8200,291,300,0,0,0,0,0,0,8200,0,0,0,0,0,0,0,0,47,3.74,2.835,1,4,31.1,0.4,1,0,47,1.037,29.51,70.5,46.9,0.35,1462,0.074,53.9
48,8300,67.9,43,22.8,0,0.335,128,0,-0.1,8300,70.4,44.5,22.8,0,0.335,128,0,-0.1,8300,-0.1,-0.1,99.6,0,54.8,-0.1,13.1,0,8300,1331,0,0,0,75,67,76,69,8300,0,128,0,0,0,0,0,0,8300,22.8,271.9,249.1,0.75,0,26,54.8,-0.1,8300,300,300,0,0,0,0,0,0,8300,0,0,0,0,0,0,0,0,48,3.74,2.835,1,4,31.1,0.4,1,0,48,1.037,29.51,70.5,46.9,0.35,1462,0.074,53.9
49,8400,68,42.5,22.7,0,0.334,128,0,-0.1,8400,70.5,44.1,22.7,0,0.334,128,0,-0.1,8400,-0.1,-0.1,99.6,-0.1,54.8,-0.1,13.1,0,8400,1339,0,0,0,75,67,76,69,8400,0,128,0,0,0,0,0,0,8400,22.7,271.7,248.9,0.75,0,26,54.8,-0.1,8400,287,300,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,49,3.74,2.835,1,4,31.1,0.4,1,0,49,1.037,29.51,70.5,46.9,0.35,1464,0.074,53.9
50,8500,68.3,42.2,22.6,0,0.331,129,0,-0.1,8500,70.8,43.7,22.6,0,0.331,129,0,-0.1,8500,-0.1,-0.1,99.6,-0.1,54.7,-0.1,13.1,0,8500,1347,0,0,0,75,67,76,69,8500,0,129,0,0,0,0,0,0,8500,22.6,270.9,248.3,0.75,0,26,54.7,-0.1,8500,284,300,0,0,0,0,0,0,8500,0,0,0,0,0,0,0,0,50,3.74,2.835,1,4,31.1,0.4,1,0,50,1.037,29.51,70.5,47,0.35,1463,0.074,53.9
51,8600,69.2,42.3,23.5,0,0.34,129,0,-0.1,8600,71.8,43.8,23.5,0,0.34,129,0,-0.1,8600,-0.1,-0.1,99.6,0,54.7,-0.1,13.1,0,8600,1353,0,0,0,75,67,76,69,8600,0,129,0,0,0,0,0,0,8600,23.5,269.5,246,0.75,0,26,54.7,-0.1,8600,294,300,0,0,0,0,0,0,8600,0,0,0,0,0,0,0,0,51,3.74,2.835,1,4,31.1,0.4,1,0,51,1.037,29.51,70.5,47,0.35,1463,0.074,53.9
52,8700,69.8,42.2,25.3,0,0.363,129,0,-0.1,8700,72.4,43.7,25.3,0,0.363,129,0,-0.1,8700,-0.1,0,99.8,0,54.7,-0.1,13.1,0,8700,1360,0,0,0,75,67,76,69,8700,0,129,0,0,0,0,0,0,8700,25.3,270.1,244.8,0.75,0,27,54.7,-0.1,8700,295,300,0,0,0,0,0,0,8700,0,0,0,0,0,0,0,0,52,3.74,2.835,1,4,31.1,0.4,1,0,52,1.037,29.51,70.5,47,0.35,1463,0.074,53.9
53,8800,69.9,41.7,26.1,0,0.374,129,0,-0.1,8800,72.4,43.2,26.1,0,0.374,129,0,-0.1,8800,-0.1,0,99.8,0,54.7,-0.1,13.1,0,8800,1365,0,0,0,75,67,76,69,8800,0,129,0,0,0,0,0,0,8800,26.1,270.7,244.6,0.75,0,27,54.7,-0.1,8800,287,300,0,0,0,0,0,0,8800,0,0,0,0,0,0,0,0,53,3.74,2.835,1,4,31.1,0.4,1,0,53,1.037,29.51,70.5,47,0.35,1463,0.074,53.9
54,8900,70,41.3,25.1,0,0.358,128,0,0,8900,72.6,42.8,25.1,0,0.358,128,0,0,8900,0,0,99.9,0,54.7,-0.1,13.1,0,8900,1371,0,0,0,75,67,76,69,8900,0,128,0,0,0,0,0,0,8900,25.1,270.1,245,0.75,0,28,54.7,-0.1,8900,285,300,0,0,0,0,0,0,8900,0,0,0,0,0,0,0,0,54,3.74,2.835,1,4,31.1,0.4,1,0,54,1.037,29.51,70.5,47,0.35,1464,0.074,53.9
55,9000,70.8,41.3,26.1,0,0.369,128,0,0,9000,73.3,42.8,26.1,0,0.369,128,0,0,9000,0,0,99.9,0,54.7,-0.1,13.1,0,9000,1375,0,0,0,75,68,76,69,9000,0,128,0,0,0,0,0,0,9000,26.1,268.9,242.8,0.75,0,28,54.7,-0.1,9000,293,300,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,55,3.74,2.835,1,4,31.1,0.4,1,0,55,1.037,29.51,70.5,47,0.35,1464,0.074,53.9
56,9100,70.6,40.7,27.5,0,0.389,129,0,0,9100,73.2,42.2,27.5,0,0.389,129,0,0,9100,0,0,99.9,0,54.7,-0.1,13.1,0,9100,1379,0,0,0,75,68,76,70,9100,0,129,0,0,0,0,0,0,9100,27.5,267.8,240.4,0.75,0,28,54.7,-0.1,9100,284,300,0,0,0,0,0,0,9100,0,0,0,0,0,0,0,0,56,3.74,2.835,1,4,31.1,0.4,1,0,56,1.037,29.51,70.5,47,0.35,1464,0.074,53.9
57,9200,70.3,40.2,28,0,0.398,129,0,0,9200,72.9,41.6,28,0,0.398,129,0,0,9200,0,0,99.8,0,54.7,-0.1,13.1,0,9200,1383,0,0,0,75,68,76,70,9200,0,129,0,0,0,0,0,0,9200,28,268.2,240.2,0.75,0,29,54.7,-0.1,9200,278,300,0,0,0,0,0,0,9200,0,0,0,0,0,0,0,0,57,3.74,2.835,1,4,31.1,0.4,1,0,57,1.037,29.51,70.5,47,0.35,1464,0.074,53.9
58,9300,70.3,39.7,27.1,0,0.385,129,0,0,9300,72.9,41.2,27.1,0,0.385,129,0,0,9300,0,0,99.8,0,54.7,-0.1,13.1,0,9300,1386,0,0,0,75,68,76,70,9300,0,129,0,0,0,0,0,0,9300,27.1,268.6,241.6,0.75,0,29,54.7,-0.1,9300,282,300,0,0,0,0,0,0,9300,0,0,0,0,0,0,0,0,58,3.74,2.835,1,4,31.1,0.4,1,0,58,1.037,29.51,70.5,47,0.35,1464,0.074,53.9
59,9400,70.4,39.3,27.4,0,0.389,129,0,0,9400,72.9,40.8,27.4,0,0.389,129,0,0,9400,0,0,99.8,0,54.7,-0.1,13.1,0,9400,1390,0,0,0,75,68,76,70,9400,0,129,0,0,0,0,0,0,9400,27.4,268,240.7,0.75,0,29,54.7,-0.1,9400,284,300,0,0,0,0,0,0,9400,0,0,0,0,0,0,0,0,59,3.74,2.835,1,4,31.1,0.4,1,0,59,1.037,29.51,70.5,47,0.35,1464,0.074,53.9
60,9500,71.1,39.3,27.7,0,0.389,129,0,0,9500,73.7,40.8,27.7,0,0.389,129,0,0,9500,0,0,99.8,0,54.7,-0.1,13.1,0,9500,1394,0,0,0,75,68,76,70,9500,0,129,0,0,0,0,0,0,9500,27.7,267.1,239.4,0.75,0,29,54.7,-0.1,9500,301,300,0,0,0,0,0,0,9500,0,0,0,0,0,0,0,0,60,3.74,2.835,1,4,31.1,0.4,1,0,60,1.037,29.51,70.5,47,0.35,1464,0.074,53.9
61,9600,70.6,38.6,27,0,0.383,129,0,0,9600,73.2,40,27,0,0.383,129,0,0,9600,0,0,99.8,0,54.7,-0.1,13.1,0,9600,1397,0,0,0,75,68,76,70,9600,0,129,0,0,0,0,0,0,9600,27,266.4,239.4,0.75,0,30,54.7,-0.1,9600,289,300,0,0,0,0,0,0,9600,0,0,0,0,0,0,0,0,61,3.74,2.835,1,4,31.1,0.4,1,0,61,1.037,29.51,70.5,47,0.35,1464,0.074,53.9
62,9700,70.6,38.2,24.9,0,0.353,129,0,0,9700,73.2,39.6,24.9,0,0.353,129,0,0,9700,0,-0.1,99.7,0,54.7,-0.1,13.1,0,9700,1400,0,0,0,75,67,76,70,9700,0,129,0,0,0,0,0,0,9700,24.9,264.2,239.2,0.75,0,30,54.7,-0.1,9700,292,300,0,0,0,0,0,0,9700,0,0,0,0,0,0,0,0,62,3.74,2.835,1,4,31.1,0.4,1,0,62,1.037,29.51,70.5,47,0.35,1464,0.074,53.9
63,9800,70.8,38,25.5,0,0.36,130,0,-0.1,9800,73.4,39.4,25.5,0,0.36,130,0,-0.1,9800,-0.1,-0.1,99.7,0,54.7,-0.1,13,0,9800,1403,0,0,0,75,67,76,70,9800,0,130,0,0,0,0,0,0,9800,25.5,263.5,238,0.75,0,30,54.7,-0.1,9800,295,300,0,0,0,0,0,0,9800,0,0,0,0,0,0,0,0,63,3.74,2.835,1,4,31.1,0.4,1,0,63,1.037,29.51,70.5,47,0.35,1464,0.074,53.9
64,9900,70.6,37.4,26.1,0,0.37,130,0,-0.1,9900,73.2,38.8,26.1,0,0.37,130,0,-0.1,9900,-0.1,-0.1,99.7,0,54.7,-0.1,13.1,0,9900,1406,0,0,0,75,67,76,70,9900,0,130,0,0,0,0,0,0,9900,26.1,263.4,237.3,0.75,0,30,54.7,-0.1,9900,290,300,0,0,0,0,0,0,9900,0,0,0,0,0,0,0,0,64,3.74,2.835,1,4,31.1,0.4,1,0,64,1.037,29.51,70.5,47,0.35,1463,0.074,53.9
65,10000,69.5,36.5,24,0,0.346,130,0,-0.1,10000,72,37.8,24,0,0.346,130,0,-0.1,10000,-0.1,-0.1,99.7,0,54.7,-0.1,13.1,0,10000,1410,0,0,0,75,68,76,71,10000,0,130,0,0,0,0,0,0,10000,24,259.9,235.9,0.75,0,30,54.7,-0.1,10000,277,300,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,65,3.74,2.835,1,4,31.1,0.4,1,0,65,1.037,29.51,70.5,47,0.35,1463,0.074,53.9
66,10100,69.1,35.9,23,0,0.333,130,0,-0.1,10100,71.6,37.2,23,0,0.333,130,0,-0.1,10100,-0.1,-0.1,99.7,0,54.7,-0.1,13.1,0,10100,1413,0,0,0,75,68,76,71,10100,0,130,0,0,0,0,0,0,10100,23,257.1,234.1,0.75,0,30,54.7,-0.1,10100,281,300,0,0,0,0,0,0,10100,0,0,0,0,0,0,0,0,66,3.74,2.835,1,4,31.1,0.4,1,0,66,1.037,29.51,70.5,47,0.35,1463,0.074,53.9
67,10200,68.6,35.3,25,0,0.365,131,0,0,10200,71.1,36.6,25,0,0.365,131,0,0,10200,0,-0.1,99.7,0,54.6,-0.1,13.1,0,10200,1416,0,0,0,75,68,76,71,10200,0,131,0,0,0,0,0,0,10200,25,258.5,233.5,0.75,0,30,54.6,-0.1,10200,288,300,0,0,0,0,0,0,10200,0,0,0,0,0,0,0,0,67,3.74,2.835,1,4,31.1,0.4,1,0,67,1.037,29.51,70.5,47,0.35,1463,0.074,53.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
