Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains
10,4500,28.1,32.8,9.8,0,0.349,128,0,0,4500,29.1,34,9.8,0,0.349,128,0,0,4500,0,-0.1,99.7,0,54.7,-0.1,13.1,0,4500,1168,0,0,0,75,67,76,67,4500,0,128,0,0,0,0,0,0,4500,9.8,251,241.2,0.75,0,25,54.7,-0.1,4500,298,300,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,10,3.74,2.835,1,4,31.1,0.4,1,0,10,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
11,4600,29.4,33.6,10,0,0.34,128,0,0,4600,30.5,34.8,10,0,0.34,128,0,0,4600,0,-0.1,99.7,0,54.7,-0.1,13.1,0,4600,1170,0,0,0,75,67,76,67,4600,0,128,0,0,0,0,0,0,4600,10,250.9,240.9,0.75,0,25,54.7,-0.1,4600,331,300,0,0,0,0,0,0,4600,0,0,0,0,0,0,0,0,11,3.74,2.835,1,4,31.1,0.4,1,0,11,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
12,4700,30.1,33.7,9.3,0,0.308,128,0,0,4700,31.2,34.9,9.3,0,0.308,128,0,0,4700,0,-0.1,99.6,0,54.7,-0.1,13.1,0,4700,1171,0,0,0,75,67,76,67,4700,0,128,0,0,0,0,0,0,4700,9.3,250.4,241.1,0.75,0,25,54.7,-0.1,4700,338,300,0,0,0,0,0,0,4700,0,0,0,0,0,0,0,0,12,3.74,2.835,1,4,31.1,0.4,1,0,12,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
13,4800,30.7,33.6,8.8,0,0.288,128,0,0,4800,31.8,34.8,8.8,0,0.288,128,0,0,4800,0,-0.1,99.6,0,54.7,-0.1,13.1,0,4800,1173,0,0,0,75,67,76,67,4800,0,128,0,0,0,0,0,0,4800,8.8,251,242.2,0.75,0,25,54.7,-0.1,4800,338,300,0,0,0,0,0,0,4800,0,0,0,0,0,0,0,0,13,3.74,2.835,1,4,31.1,0.4,1,0,13,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
14,4900,31.4,33.7,7.8,0,0.25,128,0,0,4900,32.6,34.9,7.8,0,0.25,128,0,0,4900,0,-0.1,99.5,-0.1,54.7,-0.1,13.1,0,4900,1174,0,0,0,75,67,76,67,4900,0,128,0,0,0,0,0,0,4900,7.8,250.9,243,0.75,0,25,54.7,-0.1,4900,340,300,0,0,0,0,0,0,4900,0,0,0,0,0,0,0,0,14,3.74,2.835,1,4,31.1,0.4,1,0,14,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
15,5000,32.4,34,6.1,0,0.189,128,0,-0.1,5000,33.6,35.3,6.1,0,0.189,128,0,-0.1,5000,-0.1,-0.1,99.5,-0.1,54.6,-0.1,13.1,0,5000,1175,0,0,0,75,67,76,67,5000,0,128,0,0,0,0,0,0,5000,6.1,249.1,243,0.75,0,25,54.6,-0.1,5000,347,300,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,15,3.74,2.835,1,4,31.1,0.4,1,0,15,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
16,5100,33,34,5.6,0,0.169,128,0,-0.1,5100,34.2,35.3,5.6,0,0.169,128,0,-0.1,5100,-0.1,-0.1,99.6,-0.1,54.6,-0.1,13.1,0,5100,1178,0,0,0,75,67,76,67,5100,0,128,0,0,0,0,0,0,5100,5.6,246.7,241.1,0.75,0,26,54.6,-0.1,5100,338,300,0,0,0,0,0,0,5100,0,0,0,0,0,0,0,0,16,3.74,2.835,1,4,31.1,0.4,1,0,16,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
17,5200,33.4,33.8,6.9,0,0.205,128,0,-0.1,5200,34.7,35,6.9,0,0.205,128,0,-0.1,5200,-0.1,-0.1,99.6,0,54.7,-0.1,13.1,0,5200,1180,0,0,0,75,67,76,67,5200,0,128,0,0,0,0,0,0,5200,6.9,247.7,240.9,0.75,0,26,54.7,-0.1,5200,318,300,0,0,0,0,0,0,5200,0,0,0,0,0,0,0,0,17,3.74,2.835,1,4,31.1,0.4,1,0,17,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
18,5300,35.2,34.9,8.2,0,0.232,128,0,-0.1,5300,36.5,36.1,8.2,0,0.232,128,0,-0.1,5300,-0.1,-0.1,99.7,0,54.7,-0.1,13.1,0,5300,1184,0,0,0,75,67,76,67,5300,0,128,0,0,0,0,0,0,5300,8.2,255.7,247.5,0.75,0,26,54.7,-0.1,5300,331,300,0,0,0,0,0,0,5300,0,0,0,0,0,0,0,0,18,3.74,2.835,1,4,31.1,0.4,1,0,18,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
19,5400,37,36,9.1,0,0.245,128,0,0,5400,38.4,37.3,9.1,0,0.245,128,0,0,5400,0,0,99.8,0,54.7,-0.1,13.1,0,5400,1187,0,0,0,75,67,76,67,5400,0,128,0,0,0,0,0,0,5400,9.1,262.5,253.5,0.75,0,26,54.7,-0.1,5400,342,300,0,0,0,0,0,0,5400,0,0,0,0,0,0,0,0,19,3.74,2.835,1,4,31.1,0.4,1,0,19,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
