Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
10,4600,28.7,32.7,9.0,0.0,0.313,91,0,-0.1,4600,30.0,34.3,9.0,0.0,0.313,91,0,-0.1,4600,-0.1,-0.1,98.7,-0.1,54.6,-0.1,13.1,0,4600,1138,0,0,0,81,68,84,69,4600,0,91,0,0,0,0,0,0,4600,9.0,238.4,229.4,0.750,0.0,35,54.6,-0.1,4600,322,300,0,0,0,0,0,0,4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3.740,2.835,1,4,31.1,0.400,1,0,10,1.049,29.30,78.9,24.9,0.25,2212,0.072,38.4,
11,4700,29.9,33.4,8.5,0.0,0.283,90,0,-0.1,4700,31.3,35.0,8.5,0.0,0.283,90,0,-0.1,4700,-0.1,-0.1,98.7,-0.1,54.6,-0.1,13.1,0,4700,1139,0,0,0,81,68,84,69,4700,0,90,0,0,0,0,0,0,4700,8.5,237.6,229.2,0.750,0.0,36,54.6,-0.1,4700,348,300,0,0,0,0,0,0,4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3.740,2.835,1,4,31.1,0.400,1,0,11,1.049,29.30,78.9,24.9,0.25,2212,0.072,38.4,
12,4800,31.1,34.1,8.4,0.0,0.270,90,0,-0.1,4800,32.6,35.7,8.4,0.0,0.270,90,0,-0.1,4800,-0.1,-0.1,98.8,-0.1,54.6,-0.1,13.1,0,4800,1139,0,0,0,81,68,84,69,4800,0,90,0,0,0,0,0,0,4800,8.4,238.1,229.7,0.750,0.0,36,54.6,-0.1,4800,366,300,0,0,0,0,0,0,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3.740,2.835,1,4,31.1,0.400,1,0,12,1.049,29.30,78.9,24.9,0.25,2212,0.072,38.3,
13,4900,32.9,35.2,8.3,0.0,0.253,91,0,-0.1,4900,34.4,36.9,8.3,0.0,0.253,91,0,-0.1,4900,-0.1,-0.1,98.9,0.0,54.6,-0.1,13.1,0,4900,1139,0,0,0,81,68,84,69,4900,0,91,0,0,0,0,0,0,4900,8.3,238.6,230.3,0.750,0.0,36,54.6,-0.1,4900,391,300,0,0,0,0,0,0,4900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3.740,2.835,1,4,31.1,0.400,1,0,13,1.049,29.30,78.9,24.9,0.25,2212,0.072,38.3,
14,5000,33.9,35.7,9.0,0.0,0.264,91,0,-0.1,5000,35.6,37.4,9.0,0.0,0.264,91,0,-0.1,5000,-0.1,-0.1,98.9,0.0,54.6,-0.1,13.1,0,5000,1139,0,0,0,81,68,84,70,5000,0,91,0,0,0,0,0,0,5000,9.0,239.7,230.8,0.750,0.0,36,54.6,-0.1,5000,388,300,0,0,0,0,0,0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3.740,2.835,1,4,31.1,0.400,1,0,14,1.049,29.30,78.9,24.9,0.25,2211,0.072,38.3,
15,5100,34.1,35.1,10.0,0.0,0.293,91,0,-0.1,5100,35.7,36.8,10.0,0.0,0.293,91,0,-0.1,5100,-0.1,-0.1,98.9,0.0,54.6,-0.1,13.1,0,5100,1140,0,0,0,81,68,84,70,5100,0,91,0,0,0,0,0,0,5100,10.0,239.8,229.8,0.750,0.0,36,54.6,-0.1,5100,350,300,0,0,0,0,0,0,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3.740,2.835,1,4,31.1,0.400,1,0,15,1.049,29.30,78.9,24.9,0.25,2211,0.072,38.3,
16,5200,32.3,32.7,11.9,0.0,0.368,91,0,-0.1,5200,33.9,34.2,11.9,0.0,0.368,91,0,-0.1,5200,-0.1,-0.1,98.8,-0.1,54.6,-0.2,13.1,0,5200,1145,0,0,0,81,68,84,69,5200,0,91,0,0,0,0,0,0,5200,11.9,239.2,227.3,0.750,0.0,36,54.6,-0.2,5200,250,300,0,0,0,0,0,0,5200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3.740,2.835,1,4,31.1,0.400,1,0,16,1.049,29.30,78.9,24.9,0.25,2211,0.072,38.3,
17,5300,33.5,33.2,13.3,0.0,0.397,91,0,-0.1,5300,35.1,34.8,13.3,0.0,0.397,91,0,-0.1,5300,-0.1,-0.1,98.7,-0.1,54.6,-0.2,13.1,0,5300,1150,0,0,0,81,68,84,69,5300,0,91,0,0,0,0,0,0,5300,13.3,239.6,226.3,0.750,0.0,36,54.6,-0.2,5300,264,300,0,0,0,0,0,0,5300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3.740,2.835,1,4,31.1,0.400,1,0,17,1.049,29.30,78.9,24.9,0.25,2211,0.072,38.3,
18,5400,35.9,34.9,12.7,0.0,0.355,91,0,-0.1,5400,37.6,36.6,12.7,0.0,0.355,91,0,-0.1,5400,-0.1,-0.2,98.7,-0.1,54.6,-0.2,13.1,0,5400,1156,0,0,0,81,68,84,70,5400,0,91,0,0,0,0,0,0,5400,12.7,239.7,227.0,0.750,0.0,36,54.6,-0.2,5400,310,300,0,0,0,0,0,0,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3.740,2.835,1,4,31.1,0.400,1,0,18,1.049,29.30,78.9,24.8,0.25,2211,0.072,38.3,
19,5500,37.4,35.7,12.6,0.0,0.338,91,0,-0.1,5500,39.2,37.4,12.6,0.0,0.338,91,0,-0.1,5500,-0.1,-0.2,98.6,-0.1,54.6,-0.1,13.1,0,5500,1160,0,0,0,81,67,84,70,5500,0,91,0,0,0,0,0,0,5500,12.6,239.9,227.3,0.750,0.0,37,54.6,-0.1,5500,324,300,0,0,0,0,0,0,5500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3.740,2.835,1,4,31.1,0.400,1,0,19,1.049,29.30,78.9,24.8,0.25,2211,0.072,38.3,
