Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
1,3500,19.6,29.3,8.6,0.0,0.438,91,0,-0.2,3500,20.7,31.0,8.6,0.0,0.438,91,0,-0.2,3500,-0.2,-0.3,97.8,-0.2,54.7,-0.2,13.1,0,3500,1132,0,0,0,79,69,80,68,3500,0,91,0,0,0,0,0,0,3500,8.6,258.0,249.5,0.750,0.0,33,54.7,-0.2,3500,141,300,0,0,0,0,0,0,3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.740,2.835,1,4,31.1,0.400,1,0,1,1.058,29.22,75.1,58.8,0.52,2179,0.072,80.4,
2,3600,22.9,33.4,7.3,0.0,0.317,91,0,-0.2,3600,24.2,35.3,7.3,0.0,0.317,91,0,-0.2,3600,-0.2,-0.3,97.8,-0.2,54.7,-0.2,13.1,0,3600,1132,0,0,0,79,69,80,68,3600,0,91,0,0,0,0,0,0,3600,7.3,258.0,250.8,0.750,0.0,33,54.7,-0.2,3600,279,300,0,0,0,0,0,0,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.740,2.835,1,4,31.1,0.400,1,0,2,1.058,29.22,75.1,58.8,0.52,2179,0.072,80.4,
3,3700,24.5,34.8,7.4,0.0,0.303,91,0,-0.2,3700,25.9,36.8,7.4,0.0,0.303,91,0,-0.2,3700,-0.2,-0.3,97.9,-0.2,54.7,-0.2,13.1,0,3700,1132,0,0,0,79,69,80,68,3700,0,91,0,0,0,0,0,0,3700,7.4,259.4,252.0,0.750,0.0,33,54.7,-0.2,3700,326,300,0,0,0,0,0,0,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.740,2.835,1,4,31.1,0.400,1,0,3,1.058,29.22,75.1,58.8,0.52,2179,0.072,80.4,
4,3800,24.1,33.3,7.4,0.0,0.308,91,0,-0.2,3800,25.4,35.2,7.4,0.0,0.308,91,0,-0.2,3800,-0.2,-0.3,97.9,-0.2,54.7,-0.3,13.1,0,3800,1130,0,0,0,79,69,80,68,3800,0,91,0,0,0,0,0,0,3800,7.4,261.6,254.2,0.750,0.0,33,54.7,-0.3,3800,278,300,0,0,0,0,0,0,3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.740,2.835,1,4,31.1,0.400,1,0,4,1.058,29.22,75.1,58.8,0.52,2179,0.072,80.4,
5,3900,24.0,32.3,7.3,0.0,0.304,92,0,-0.2,3900,25.4,34.2,7.3,0.0,0.304,92,0,-0.2,3900,-0.2,-0.3,97.9,-0.2,54.7,-0.3,13.1,0,3900,1128,0,0,0,79,68,80,68,3900,0,92,0,0,0,0,0,0,3900,7.3,260.3,253.0,0.750,0.0,33,54.7,-0.3,3900,263,300,0,0,0,0,0,0,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.740,2.835,1,4,31.1,0.400,1,0,5,1.058,29.22,75.1,58.8,0.52,2179,0.072,80.4,
6,4000,26.7,35.0,7.5,0.0,0.281,92,0,-0.2,4000,28.2,37.0,7.5,0.0,0.281,92,0,-0.2,4000,-0.2,-0.3,97.8,-0.2,54.7,-0.3,13.1,0,4000,1127,0,0,0,79,68,80,68,4000,0,92,0,0,0,0,0,0,4000,7.5,258.6,251.1,0.750,0.0,32,54.7,-0.3,4000,356,300,0,0,0,0,0,0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.740,2.835,1,4,31.1,0.400,1,0,6,1.058,29.22,75.1,58.8,0.52,2179,0.072,80.4,
7,4100,28.6,36.7,6.8,0.0,0.237,92,0,-0.2,4100,30.3,38.8,6.8,0.0,0.237,92,0,-0.2,4100,-0.2,-0.3,97.8,-0.2,54.7,-0.2,13.1,0,4100,1127,0,0,0,79,68,80,68,4100,0,92,0,0,0,0,0,0,4100,6.8,256.8,250.0,0.750,0.0,32,54.7,-0.2,4100,409,300,0,0,0,0,0,0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.740,2.835,1,4,31.1,0.400,1,0,7,1.058,29.22,75.1,58.8,0.52,2179,0.072,80.4,
8,4200,29.6,37.0,6.1,0.0,0.205,93,0,-0.2,4200,31.3,39.2,6.1,0.0,0.205,93,0,-0.2,4200,-0.2,-0.3,97.8,-0.2,54.7,-0.2,13.1,0,4200,1127,0,0,0,79,68,80,68,4200,0,93,0,0,0,0,0,0,4200,6.1,255.5,249.5,0.750,0.0,32,54.7,-0.2,4200,414,300,0,0,0,0,0,0,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.740,2.835,1,4,31.1,0.400,1,0,8,1.058,29.22,75.1,58.8,0.52,2179,0.072,80.4,
9,4300,28.5,34.8,5.9,0.0,0.206,94,0,-0.2,4300,30.1,36.8,5.9,0.0,0.206,94,0,-0.2,4300,-0.2,-0.4,97.8,-0.2,54.7,-0.2,13.1,0,4300,1127,0,0,0,79,69,80,68,4300,0,94,0,0,0,0,0,0,4300,5.9,255.4,249.5,0.750,0.0,32,54.7,-0.2,4300,340,300,0,0,0,0,0,0,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.740,2.835,1,4,31.1,0.400,1,0,9,1.058,29.22,75.1,58.8,0.52,2179,0.072,80.4,
10,4400,26.6,31.8,7.5,0.0,0.280,94,0,-0.2,4400,28.2,33.6,7.5,0.0,0.280,94,0,-0.2,4400,-0.2,-0.4,97.8,-0.2,54.7,-0.2,13.1,0,4400,1130,0,0,0,79,69,80,68,4400,0,94,0,0,0,0,0,0,4400,7.5,259.2,251.7,0.750,0.0,32,54.7,-0.2,4400,259,300,0,0,0,0,0,0,4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3.740,2.835,1,4,31.1,0.400,1,0,10,1.058,29.22,75.1,58.8,0.52,2179,0.072,80.4,
11,4500,27.2,31.7,6.8,0.0,0.250,94,0,-0.2,4500,28.8,33.6,6.8,0.0,0.250,94,0,-0.2,4500,-0.2,-0.3,97.9,-0.2,54.7,-0.2,13.1,0,4500,1133,0,0,0,79,69,80,68,4500,0,94,0,0,0,0,0,0,4500,6.8,260.8,254.0,0.750,0.0,32,54.7,-0.2,4500,276,300,0,0,0,0,0,0,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3.740,2.835,1,4,31.1,0.400,1,0,11,1.058,29.22,75.1,58.8,0.52,2179,0.072,80.4,
12,4600,28.6,32.7,6.7,0.0,0.235,94,0,-0.2,4600,30.3,34.5,6.7,0.0,0.235,94,0,-0.2,4600,-0.2,-0.3,97.9,-0.1,54.7,-0.2,13.1,0,4600,1136,0,0,0,79,69,80,68,4600,0,94,0,0,0,0,0,0,4600,6.7,260.2,253.5,0.750,0.0,32,54.7,-0.2,4600,320,300,0,0,0,0,0,0,4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3.740,2.835,1,4,31.1,0.400,1,0,12,1.058,29.22,75.1,58.8,0.52,2180,0.072,80.5,
