Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
1,3500,20.3,30.5,6.5,0.0,0.317,99,0,-0.3,3500,21.6,32.4,6.5,0.0,0.317,99,0,-0.3,3500,-0.3,-0.5,97.2,-0.2,54.5,-0.4,13.1,0,3500,0,0,0,0,80,70,82,69,3500,0,99,0,0,0,0,0,0,3500,6.5,230.9,224.5,0.750,0.0,36,54.5,-0.4,3500,161,300,0,0,0,0,0,0,3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.740,2.835,1,4,31.1,0.400,1,0,1,1.061,29.18,75.8,62.0,0.56,2287,0.072,87.0,
2,3600,23.3,34.0,5.7,0.0,0.243,99,0,-0.3,3600,24.7,36.1,5.7,0.0,0.243,99,0,-0.3,3600,-0.3,-0.5,97.1,-0.3,54.6,-0.4,13.1,0,3600,0,0,0,0,80,70,82,69,3600,0,99,0,0,0,0,0,0,3600,5.7,229.5,223.8,0.750,0.0,36,54.6,-0.4,3600,274,300,0,0,0,0,0,0,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.740,2.835,1,4,31.1,0.400,1,0,2,1.061,29.19,75.8,62.0,0.56,2284,0.072,87.0,
3,3700,24.8,35.3,5.7,0.0,0.229,99,0,-0.3,3700,26.4,37.4,5.7,0.0,0.229,99,0,-0.3,3700,-0.3,-0.5,97.0,-0.3,54.6,-0.4,13.1,0,3700,0,0,0,0,80,70,82,69,3700,0,99,0,0,0,0,0,0,3700,5.7,229.2,223.5,0.750,0.0,36,54.6,-0.4,3700,317,300,0,0,0,0,0,0,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.740,2.835,1,4,31.1,0.400,1,0,3,1.061,29.19,75.8,61.9,0.56,2284,0.072,86.9,
4,3800,25.9,35.8,6.5,0.0,0.251,99,0,-0.3,3800,27.5,38.0,6.5,0.0,0.251,99,0,-0.3,3800,-0.3,-0.5,97.1,-0.3,54.6,-0.4,13.1,0,3800,0,0,0,0,80,70,82,69,3800,0,99,0,0,0,0,0,0,3800,6.5,230.6,224.1,0.750,0.0,37,54.6,-0.4,3800,343,300,0,0,0,0,0,0,3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.740,2.835,1,4,31.1,0.400,1,0,4,1.061,29.19,75.8,61.9,0.56,2283,0.072,86.9,
5,3900,26.4,35.5,6.2,0.0,0.236,98,0,-0.3,3900,28.0,37.7,6.2,0.0,0.236,98,0,-0.3,3900,-0.3,-0.5,97.2,-0.2,54.6,-0.4,13.1,0,3900,0,0,0,0,80,70,82,69,3900,0,98,0,0,0,0,0,0,3900,6.2,230.9,224.7,0.750,0.0,37,54.6,-0.4,3900,342,300,0,0,0,0,0,0,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.740,2.835,1,4,31.1,0.400,1,0,5,1.061,29.19,75.8,61.9,0.56,2283,0.072,86.9,
6,4000,26.5,34.8,6.9,0.0,0.261,98,0,-0.3,4000,28.2,37.0,6.9,0.0,0.261,98,0,-0.3,4000,-0.3,-0.5,97.3,-0.2,54.5,-0.4,13.1,0,4000,0,0,0,0,80,70,82,69,4000,0,98,0,0,0,0,0,0,4000,6.9,230.9,224.0,0.750,0.0,38,54.5,-0.4,4000,327,300,0,0,0,0,0,0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.740,2.835,1,4,31.1,0.400,1,0,6,1.061,29.19,75.8,61.9,0.56,2283,0.072,86.9,
7,4100,27.4,35.1,6.3,0.0,0.232,98,0,-0.3,4100,29.1,37.2,6.3,0.0,0.232,98,0,-0.3,4100,-0.3,-0.5,97.3,-0.2,54.5,-0.4,13.1,0,4100,0,0,0,0,80,70,82,69,4100,0,98,0,0,0,0,0,0,4100,6.3,230.0,223.6,0.750,0.0,38,54.5,-0.4,4100,334,300,0,0,0,0,0,0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.740,2.835,1,4,31.1,0.400,1,0,7,1.061,29.19,75.8,61.9,0.56,2283,0.072,86.9,
8,4200,28.5,35.7,6.4,0.0,0.225,98,0,-0.3,4200,30.3,37.8,6.4,0.0,0.225,98,0,-0.3,4200,-0.3,-0.5,97.2,-0.2,54.5,-0.4,13.1,0,4200,0,0,0,0,80,70,82,69,4200,0,98,0,0,0,0,0,0,4200,6.4,229.8,223.4,0.750,0.0,38,54.5,-0.4,4200,345,300,0,0,0,0,0,0,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.740,2.835,1,4,31.1,0.400,1,0,8,1.061,29.19,75.8,61.9,0.56,2283,0.072,86.8,
9,4300,28.4,34.7,5.9,0.0,0.209,98,0,-0.3,4300,30.1,36.8,5.9,0.0,0.209,98,0,-0.3,4300,-0.3,-0.5,97.1,-0.3,54.5,-0.3,13.1,0,4300,0,0,0,0,80,70,82,69,4300,0,98,0,0,0,0,0,0,4300,5.9,229.3,223.4,0.750,0.0,38,54.5,-0.3,4300,307,300,0,0,0,0,0,0,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.740,2.835,1,4,31.1,0.400,1,0,9,1.061,29.19,75.8,61.9,0.56,2283,0.072,86.8,
