Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains
10,4600,29.2,33.3,6.3,0,0.216,93,0,-0.2,4600,30.6,34.9,6.3,0,0.216,93,0,-0.2,4600,-0.2,-0.4,98.2,-0.2,54.4,-0.3,13.1,0,4600,0,0,0,0,79,70,81,69,4600,0,93,0,0,0,0,0,0,4600,6.3,221.4,215.1,0.75,0,72,54.4,-0.3,4600,273,300,0,0,0,0,0,0,4600,0,0,0,0,0,0,0,0,10,3.74,2.835,1,4,31.1,0.4,1,0,10,1.048,29.43,74.1,59,0.51,1861,0.073,77.5
11,4700,28.9,32.3,7.2,0,0.25,92,0,-0.2,4700,30.3,33.8,7.2,0,0.25,92,0,-0.2,4700,-0.2,-0.4,98.3,-0.2,54.4,-0.3,13.1,0,4700,0,0,0,0,79,70,81,70,4700,0,92,0,0,0,0,0,0,4700,7.2,222.3,215.1,0.75,0,73,54.4,-0.3,4700,261,300,0,0,0,0,0,0,4700,0,0,0,0,0,0,0,0,11,3.74,2.835,1,4,31.1,0.4,1,0,11,1.048,29.43,74.1,59,0.51,1861,0.073,77.5
12,4800,30.4,33.3,8,0,0.262,92,0,-0.2,4800,31.9,34.9,8,0,0.262,92,0,-0.2,4800,-0.2,-0.4,98.4,-0.2,54.4,-0.3,13.1,0,4800,0,0,0,0,79,70,81,70,4800,0,92,0,0,0,0,0,0,4800,8,221.9,213.9,0.75,0,73,54.4,-0.3,4800,310,300,0,0,0,0,0,0,4800,0,0,0,0,0,0,0,0,12,3.74,2.835,1,4,31.1,0.4,1,0,12,1.048,29.43,74.1,59,0.51,1861,0.073,77.5
13,4900,31.3,33.6,8.2,0,0.261,92,0,-0.2,4900,32.8,35.2,8.2,0,0.261,92,0,-0.2,4900,-0.2,-0.3,98.6,-0.2,54.4,-0.3,13.1,0,4900,0,0,0,0,79,70,81,70,4900,0,92,0,0,0,0,0,0,4900,8.2,221.5,213.4,0.75,0,73,54.4,-0.3,4900,325,300,0,0,0,0,0,0,4900,0,0,0,0,0,0,0,0,13,3.74,2.835,1,4,31.1,0.4,1,0,13,1.048,29.43,74.1,59,0.51,1861,0.073,77.5
14,5000,31.5,33.1,8.6,0,0.272,92,0,-0.2,5000,33,34.7,8.6,0,0.272,92,0,-0.2,5000,-0.2,-0.3,98.8,-0.1,54.4,-0.2,13.1,0,5000,0,0,0,0,79,70,81,70,5000,0,92,0,0,0,0,0,0,5000,8.6,221.6,213,0.75,0,73,54.4,-0.2,5000,312,300,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,14,3.74,2.835,1,4,31.1,0.4,1,0,14,1.048,29.43,74.1,59,0.51,1861,0.073,77.5
15,5100,32.2,33.1,9.1,0,0.283,92,0,-0.2,5100,33.7,34.7,9.1,0,0.283,92,0,-0.2,5100,-0.2,-0.3,98.7,-0.1,54.4,-0.2,13.1,0,5100,0,0,0,0,79,70,81,70,5100,0,92,0,0,0,0,0,0,5100,9.1,222.9,213.8,0.75,0,73,54.4,-0.2,5100,317,300,0,0,0,0,0,0,5100,0,0,0,0,0,0,0,0,15,3.74,2.835,1,4,31.1,0.4,1,0,15,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
16,5200,33.2,33.5,8.7,0,0.263,92,0,-0.2,5200,34.8,35.2,8.7,0,0.263,92,0,-0.2,5200,-0.2,-0.3,98.7,-0.1,54.4,-0.2,13.1,0,5200,0,0,0,0,79,69,81,70,5200,0,92,0,0,0,0,0,0,5200,8.7,223.3,214.6,0.75,0,74,54.4,-0.2,5200,329,300,0,0,0,0,0,0,5200,0,0,0,0,0,0,0,0,16,3.74,2.835,1,4,31.1,0.4,1,0,16,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
17,5300,34.3,34,7.8,0,0.228,92,0,-0.2,5300,36,35.6,7.8,0,0.228,92,0,-0.2,5300,-0.2,-0.3,98.5,-0.2,54.4,-0.2,13.1,0,5300,0,0,0,0,79,69,81,70,5300,0,92,0,0,0,0,0,0,5300,7.8,223.7,215.9,0.75,0,74,54.4,-0.2,5300,339,300,0,0,0,0,0,0,5300,0,0,0,0,0,0,0,0,17,3.74,2.835,1,4,31.1,0.4,1,0,17,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
18,5400,35,34.1,7.1,0,0.203,93,0,-0.2,5400,36.7,35.7,7.1,0,0.203,93,0,-0.2,5400,-0.2,-0.4,98.4,-0.2,54.4,-0.3,13.1,0,5400,0,0,0,0,79,69,81,70,5400,0,93,0,0,0,0,0,0,5400,7.1,223.5,216.4,0.75,0,74,54.4,-0.3,5400,330,300,0,0,0,0,0,0,5400,0,0,0,0,0,0,0,0,18,3.74,2.835,1,4,31.1,0.4,1,0,18,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
19,5500,35.6,34,7.9,0,0.223,93,0,-0.2,5500,37.3,35.6,7.9,0,0.223,93,0,-0.2,5500,-0.2,-0.4,98.5,-0.2,54.4,-0.3,13.1,0,5500,0,0,0,0,79,69,81,70,5500,0,93,0,0,0,0,0,0,5500,7.9,224.1,216.2,0.75,0,74,54.4,-0.3,5500,313,300,0,0,0,0,0,0,5500,0,0,0,0,0,0,0,0,19,3.74,2.835,1,4,31.1,0.4,1,0,19,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
20,5600,36.7,34.4,10.4,0,0.284,93,0,-0.2,5600,38.5,36.1,10.4,0,0.284,93,0,-0.2,5600,-0.2,-0.3,98.6,-0.2,54.4,-0.3,13.1,0,5600,0,0,0,0,79,69,81,70,5600,0,93,0,0,0,0,0,0,5600,10.4,225.6,215.2,0.75,0,74,54.4,-0.3,5600,311,300,0,0,0,0,0,0,5600,0,0,0,0,0,0,0,0,20,3.74,2.835,1,4,31.1,0.4,1,0,20,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
21,5700,37.9,35,11.9,0,0.313,93,0,-0.2,5700,39.8,36.7,11.9,0,0.313,93,0,-0.2,5700,-0.2,-0.3,98.7,-0.1,54.4,-0.2,13.1,0,5700,0,0,0,0,79,69,81,70,5700,0,93,0,0,0,0,0,0,5700,11.9,225.7,213.8,0.75,0,74,54.4,-0.2,5700,310,300,0,0,0,0,0,0,5700,0,0,0,0,0,0,0,0,21,3.74,2.835,1,4,31.1,0.4,1,0,21,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
22,5800,39.8,36.1,12.4,0,0.311,93,0,-0.2,5800,41.7,37.8,12.4,0,0.311,93,0,-0.2,5800,-0.2,-0.3,98.6,-0.2,54.4,-0.2,13.1,0,5800,0,0,0,0,79,70,81,70,5800,0,93,0,0,0,0,0,0,5800,12.4,225.4,213,0.75,0,74,54.4,-0.2,5800,321,300,0,0,0,0,0,0,5800,0,0,0,0,0,0,0,0,22,3.74,2.835,1,4,31.1,0.4,1,0,22,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
23,5900,41.4,36.9,12,0,0.291,93,0,-0.2,5900,43.4,38.7,12,0,0.291,93,0,-0.2,5900,-0.2,-0.3,98.5,-0.2,54.4,-0.2,13.1,0,5900,0,0,0,0,79,70,80,70,5900,0,93,0,0,0,0,0,0,5900,12,225.2,213.2,0.75,0,75,54.4,-0.2,5900,326,300,0,0,0,0,0,0,5900,0,0,0,0,0,0,0,0,23,3.74,2.835,1,4,31.1,0.4,1,0,23,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
24,6000,42,36.7,11.7,0,0.278,93,0,-0.2,6000,44,38.5,11.7,0,0.278,93,0,-0.2,6000,-0.2,-0.3,98.6,-0.2,54.4,-0.2,13.1,0,6000,0,0,0,0,79,70,80,70,6000,0,93,0,0,0,0,0,0,6000,11.7,225.5,213.8,0.75,0,75,54.4,-0.2,6000,307,300,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,24,3.74,2.835,1,4,31.1,0.4,1,0,24,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
25,6100,40.9,35.2,13.3,0,0.325,93,0,-0.2,6100,42.9,36.9,13.3,0,0.325,93,0,-0.2,6100,-0.2,-0.3,98.7,-0.1,54.4,-0.2,13.1,0,6100,0,0,0,0,79,70,80,70,6100,0,93,0,0,0,0,0,0,6100,13.3,224.7,211.4,0.75,0,75,54.4,-0.2,6100,248,300,0,0,0,0,0,0,6100,0,0,0,0,0,0,0,0,25,3.74,2.835,1,4,31.1,0.4,1,0,25,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
26,6200,42.6,36.1,15.5,0,0.363,93,0,-0.2,6200,44.7,37.8,15.5,0,0.363,93,0,-0.2,6200,-0.2,-0.2,98.9,-0.1,54.3,-0.2,13.1,0,6200,0,0,0,0,79,70,81,70,6200,0,93,0,0,0,0,0,0,6200,15.5,224.5,209,0.75,0,75,54.3,-0.2,6200,277,300,0,0,0,0,0,0,6200,0,0,0,0,0,0,0,0,26,3.74,2.835,1,4,31.1,0.4,1,0,26,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
27,6300,43.9,36.6,17.9,0,0.407,93,0,-0.2,6300,46,38.3,17.9,0,0.407,93,0,-0.2,6300,-0.2,-0.2,99,-0.1,54.3,-0.2,13.1,0,6300,0,0,0,0,79,70,81,70,6300,0,93,0,0,0,0,0,0,6300,17.9,225.7,207.8,0.75,0,75,54.3,-0.2,6300,291,300,0,0,0,0,0,0,6300,0,0,0,0,0,0,0,0,27,3.74,2.835,1,4,31.1,0.4,1,0,27,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
28,6400,44.3,36.4,18.1,0,0.409,93,0,-0.2,6400,46.5,38.1,18.1,0,0.409,93,0,-0.2,6400,-0.2,-0.2,98.8,-0.1,54.3,-0.2,13.1,0,6400,0,0,0,0,79,69,81,70,6400,0,93,0,0,0,0,0,0,6400,18.1,226.1,208,0.75,0,75,54.3,-0.2,6400,287,300,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,28,3.74,2.835,1,4,31.1,0.4,1,0,28,1.048,29.43,74.1,59,0.51,1864,0.073,77.6
29,6500,45.6,36.8,16.4,0,0.359,93,0,-0.2,6500,47.8,38.6,16.4,0,0.359,93,0,-0.2,6500,-0.2,-0.3,98.7,-0.1,54.3,-0.2,13.1,0,6500,0,0,0,0,79,69,81,70,6500,0,93,0,0,0,0,0,0,6500,16.4,224.6,208.2,0.75,0,76,54.3,-0.2,6500,301,300,0,0,0,0,0,0,6500,0,0,0,0,0,0,0,0,29,3.74,2.835,1,4,31.1,0.4,1,0,29,1.048,29.43,74.1,59,0.51,1864,0.073,77.6
30,6600,47.1,37.5,15,0,0.318,93,0,-0.2,6600,49.4,39.3,15,0,0.318,93,0,-0.2,6600,-0.2,-0.3,98.5,-0.2,54.3,-0.2,13.1,0,6600,0,0,0,0,79,69,81,70,6600,0,93,0,0,0,0,0,0,6600,15,222.8,207.9,0.75,0,76,54.3,-0.2,6600,316,300,0,0,0,0,0,0,6600,0,0,0,0,0,0,0,0,30,3.74,2.835,1,4,31.1,0.4,1,0,30,1.048,29.43,74.1,59,0.51,1864,0.073,77.6
